\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000026_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1792     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:00:20 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454034.697330 14.09278 0.01000 
 2454034.701953 14.07822 0.00898 
 2454034.706575 14.08481 0.01015 
 2454034.711195 14.08507 0.00909 
 2454034.715816 14.09602 0.00882 
 2454034.721280 14.10665 0.00940 
 2454034.726743 14.09699 0.00826 
 2454034.728931 14.08549 0.00842 
 2454034.733552 14.09468 0.00848 
 2454034.738171 14.10225 0.00840 
 2454034.742791 14.06733 0.00838 
 2454034.747412 14.09249 0.00942 
 2454034.752032 14.09566 0.00786 
 2454034.756652 14.07272 0.01101 
 2454034.761271 14.10337 0.00808 
 2454034.765892 14.09123 0.00854 
 2454034.770512 14.10073 0.00811 
 2454034.775132 14.07108 0.00823 
 2454034.788988 14.09712 0.00865 
 2454034.793608 14.08979 0.00788 
 2454035.691028 14.08106 0.00932 
 2454035.695648 14.09258 0.00946 
 2454035.700270 14.08853 0.00925 
 2454035.704890 14.08315 0.00934 
 2454035.709512 14.09442 0.00922 
 2454035.714132 14.08165 0.00906 
 2454035.719593 14.09726 0.00887 
 2454035.721781 14.07511 0.00865 
 2454035.726402 14.08676 0.00879 
 2454035.731024 14.07998 0.00869 
 2454035.735647 14.09366 0.00867 
 2454035.740269 14.09427 0.00854 
 2454035.744889 14.09921 0.00843 
 2454035.749509 14.10040 0.00819 
 2454035.754130 14.09134 0.00846 
 2454035.758752 14.08979 0.00820 
 2454035.763372 14.08414 0.00838 
 2454035.767992 14.08326 0.00822 
 2454035.772612 14.08379 0.00827 
 2454035.777233 14.09907 0.00823 
 2454035.781854 14.08201 0.00816 
 2454035.786476 14.08943 0.00815 
 2454035.791096 14.08401 0.00805 
 2454036.691428 14.07717 0.00969 
 2454036.696047 14.08591 0.00907 
 2454036.700668 14.08221 0.00899 
 2454036.705288 14.09675 0.00944 
 2454036.709908 14.08046 0.00880 
 2454036.715372 14.09307 0.00888 
 2454036.720834 14.08652 0.00901 
 2454036.723022 14.08615 0.00895 
 2454036.727641 14.08892 0.00856 
 2454036.732260 14.10616 0.00894 
 2454036.736880 14.09087 0.00873 
 2454036.741499 14.09745 0.00852 
 2454036.746121 14.08225 0.00855 
 2454036.750741 14.08113 0.00819 
 2454036.755361 14.09046 0.00920 
 2454036.759981 14.09370 0.00860 
 2454036.764603 14.08702 0.00858 
 2454036.769224 14.08657 0.00858 
 2454036.773844 14.09990 0.00826 
 2454036.778464 14.06541 0.00922 
 2454036.783085 14.09617 0.00854 
 2454036.787706 14.08924 0.00835 
 2454037.685167 14.09368 0.00886 
 2454037.689788 14.07617 0.00888 
 2454037.694408 14.09935 0.00827 
 2454037.699029 14.12858 0.01141 
 2454037.703650 14.09567 0.00762 
 2454037.708272 14.09651 0.00840 
 2454037.713737 14.10490 0.00848 
 2454037.715925 14.08897 0.00828 
 2454037.720546 14.10486 0.00823 
 2454037.725167 14.08839 0.00820 
 2454037.729789 14.10165 0.00807 
 2454037.734411 14.09432 0.00779 
 2454037.739033 14.09902 0.00770 
 2454037.743653 14.08998 0.00760 
 2454037.748274 14.08189 0.00779 
 2454037.752895 14.09755 0.00763 
 2454037.757517 14.09230 0.00762 
 2454037.762139 14.08292 0.00751 
 2454037.766760 14.09352 0.00744 
 2454037.771381 14.10272 0.00738 
 2454037.776002 14.08597 0.00754 
 2454037.780624 14.09943 0.00740 
 2454037.785245 14.08213 0.00749 
 2454038.735588 14.09199 0.00811 
 2454038.740209 14.09783 0.00834 
 2454038.758691 14.09633 0.00778 
 2454038.767932 14.06390 0.00505 
 2454038.772554 14.09878 0.00761 
 2454038.777175 14.08817 0.00682 
 2454038.781796 14.09559 0.00574 
 2454039.676434 14.09818 0.01072 
 2454039.681054 14.07958 0.01072 
 2454039.685675 14.09553 0.01063 
 2454039.690296 14.10070 0.01063 
