\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000027_V01_east_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1770     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:03:23 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454034.697330 14.31357 0.01220 
 2454034.701953 14.31730 0.01078 
 2454034.706575 14.31396 0.01231 
 2454034.711195 14.31809 0.01098 
 2454034.715816 14.32517 0.01063 
 2454034.721280 14.32940 0.01135 
 2454034.726743 14.31836 0.00996 
 2454034.728931 14.30952 0.01014 
 2454034.733552 14.31241 0.01021 
 2454034.738171 14.30128 0.01014 
 2454034.742791 14.32667 0.01005 
 2454034.747412 14.33458 0.01113 
 2454034.752032 14.31862 0.00939 
 2454034.756652 14.34138 0.01312 
 2454034.761271 14.30183 0.00972 
 2454034.765892 14.32064 0.01017 
 2454034.770512 14.32328 0.00972 
 2454034.775132 14.32678 0.00987 
 2454034.788988 14.30541 0.01050 
 2454034.793608 14.32308 0.00943 
 2454035.691028 14.33278 0.01121 
 2454035.695648 14.33448 0.01142 
 2454035.700270 14.32035 0.01115 
 2454035.704890 14.30315 0.01121 
 2454035.709512 14.32007 0.01117 
 2454035.714132 14.31321 0.01086 
 2454035.719593 14.32097 0.01070 
 2454035.721781 14.32112 0.01040 
 2454035.726402 14.30408 0.01054 
 2454035.731024 14.32074 0.01043 
 2454035.735647 14.31696 0.01042 
 2454035.740269 14.31472 0.01022 
 2454035.744889 14.30629 0.01012 
 2454035.749509 14.31395 0.00988 
 2454035.754130 14.30840 0.01017 
 2454035.758752 14.31286 0.00983 
 2454035.763372 14.32332 0.00999 
 2454035.767992 14.31340 0.00987 
 2454035.772612 14.30772 0.00993 
 2454035.777233 14.31481 0.00988 
 2454035.781854 14.32588 0.00977 
 2454035.786476 14.31056 0.00975 
 2454035.791096 14.31103 0.00964 
 2454036.691428 14.31565 0.01193 
 2454036.696047 14.34174 0.01101 
 2454036.700668 14.31602 0.01084 
 2454036.705288 14.30001 0.01144 
 2454036.709908 14.31094 0.01060 
 2454036.715372 14.31446 0.01065 
 2454036.720834 14.31873 0.01088 
 2454036.723022 14.31405 0.01088 
 2454036.727641 14.29541 0.01050 
 2454036.732260 14.32543 0.01078 
 2454036.736880 14.34426 0.01048 
 2454036.741499 14.32199 0.01030 
 2454036.746121 14.30793 0.01027 
 2454036.750741 14.31141 0.00984 
 2454036.755361 14.32224 0.01110 
 2454036.759981 14.32865 0.01038 
 2454036.764603 14.30558 0.01030 
 2454036.769224 14.32099 0.01044 
 2454036.773844 14.32039 0.01021 
 2454036.778464 14.30648 0.01105 
 2454036.783085 14.30541 0.01028 
 2454036.787706 14.31687 0.01009 
 2454037.685167 14.32435 0.01063 
 2454037.689788 14.31404 0.01068 
 2454037.694408 14.31326 0.01002 
 2454037.703650 14.30967 0.00894 
 2454037.708272 14.31991 0.01009 
 2454037.713737 14.32030 0.01023 
 2454037.715925 14.32545 0.00991 
 2454037.720546 14.32937 0.00991 
 2454037.725167 14.32549 0.00983 
 2454037.729789 14.30936 0.00971 
 2454037.734411 14.31166 0.00931 
 2454037.739033 14.31886 0.00926 
 2454037.743653 14.31538 0.00907 
 2454037.748274 14.31608 0.00934 
 2454037.752895 14.31259 0.00912 
 2454037.757517 14.31234 0.00911 
 2454037.762139 14.32812 0.00891 
 2454037.766760 14.32254 0.00887 
 2454037.771381 14.30897 0.00885 
 2454037.776002 14.32229 0.00898 
 2454037.780624 14.30552 0.00888 
 2454037.785245 14.31059 0.00893 
 2454038.735588 14.30981 0.00973 
 2454038.740209 14.30765 0.00997 
 2454038.758691 14.32474 0.00931 
 2454038.767932 14.29588 0.00609 
 2454038.772554 14.31859 0.00910 
 2454038.777175 14.32382 0.00851 
 2454038.781796 14.29841 0.00700 
 2454039.676434 14.33285 0.01304 
 2454039.681054 14.32810 0.01295 
 2454039.685675 14.31810 0.01287 
 2454039.690296 14.31386 0.01289 
 2454039.694917 14.30454 0.01282 
