\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_003635_V01_west_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 600      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:04:06 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454035.796138 14.99616 0.01794 
 2454035.796138 15.00471 0.01794 
 2454035.796138 15.00814 0.01794 
 2454035.801601 15.02516 0.01613 
 2454036.792748 15.02307 0.01797 
 2454036.798212 15.00796 0.01613 
 2454036.803677 15.02855 0.01526 
 2454037.790288 15.00851 0.01660 
 2454037.795751 15.02194 0.01503 
 2454037.801215 15.02498 0.01474 
 2454038.786837 14.99000 0.01645 
 2454038.792301 14.98744 0.01523 
 2454038.797767 15.02206 0.01576 
 2454039.786156 14.98074 0.02010 
 2454040.782391 15.02309 0.02419 
 2454048.758326 14.99724 0.02518 
 2454048.769051 14.99101 0.02189 
 2454048.774412 15.01880 0.02119 
 2454048.779774 14.99417 0.02262 
 2454050.753257 15.00916 0.02136 
 2454050.758623 14.98718 0.01999 
 2454050.763985 14.99862 0.01855 
 2454050.769353 15.00734 0.01910 
 2454052.759974 15.02818 0.01747 
 2454052.765340 14.98990 0.01699 
 2454052.770701 14.99507 0.01688 
 2454053.747612 14.98348 0.01744 
 2454053.758345 14.98809 0.01609 
 2454053.763714 15.01100 0.01564 
 2454053.769083 15.02805 0.01532 
 2454054.744176 14.99415 0.01728 
 2454054.754916 15.01323 0.01491 
 2454054.760287 15.00400 0.01451 
 2454054.765656 15.01608 0.01539 
 2454055.738458 15.00076 0.01690 
 2454055.749196 15.00783 0.01513 
 2454055.754566 14.99135 0.01505 
 2454055.759929 14.99965 0.01542 
 2454055.765298 15.01123 0.01500 
 2454056.739140 14.98412 0.01949 
 2454056.744508 15.00388 0.01545 
 2454056.749872 15.00999 0.01650 
 2454056.755241 15.01972 0.01657 
 2454056.760609 15.02161 0.01601 
 2454057.734189 15.00259 0.01867 
 2454057.744929 15.00983 0.01739 
 2454057.750291 15.01568 0.01682 
 2454057.755659 15.03371 0.01688 
 2454057.761029 14.99321 0.01776 
 2454058.733748 15.01591 0.01690 
 2454058.744484 15.00898 0.01735 
 2454058.749848 15.00983 0.01563 
 2454058.755216 14.99736 0.01695 
 2454059.730258 15.01215 0.01736 
 2454059.735624 15.00956 0.01531 
 2454059.740993 14.98587 0.01621 
 2454059.746355 15.00293 0.01595 
 2454059.751725 14.99821 0.01679 
