\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_009476_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 602      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 17:07:16 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454035.796138 13.25924 0.00407 
 2454035.801601 13.25607 0.00399 
 2454036.792748 13.25371 0.00388 
 2454036.798212 13.25345 0.00396 
 2454036.803677 13.24362 0.00365 
 2454037.790288 13.26612 0.00388 
 2454037.795751 13.26023 0.00379 
 2454037.801215 13.24849 0.00366 
 2454038.786837 13.23135 0.00573 
 2454038.792301 13.26358 0.00366 
 2454038.797767 13.25429 0.00372 
 2454039.786156 13.26989 0.00431 
 2454040.782391 13.27360 0.00479 
 2454048.758326 13.24939 0.00485 
 2454048.769051 13.27457 0.00442 
 2454048.774412 13.25553 0.00462 
 2454048.779774 13.25817 0.00465 
 2454050.753257 13.28407 0.00444 
 2454050.758623 13.24735 0.00412 
 2454050.763985 13.26176 0.00409 
 2454050.769353 13.24641 0.00406 
 2454052.749244 13.27361 0.00397 
 2454052.754611 13.24762 0.00377 
 2454052.759974 13.26316 0.00398 
 2454052.765340 13.27366 0.00355 
 2454052.770701 13.27543 0.00358 
 2454053.747612 13.24728 0.00374 
 2454053.758345 13.26720 0.00353 
 2454053.763714 13.26206 0.00361 
 2454053.769083 13.25790 0.00356 
 2454054.744176 13.25495 0.00389 
 2454054.754916 13.25774 0.00374 
 2454054.760287 13.26332 0.00363 
 2454054.765656 13.26199 0.00361 
 2454055.738458 13.25550 0.00390 
 2454055.749196 13.25681 0.00382 
 2454055.754566 13.26813 0.00359 
 2454055.759929 13.27006 0.00362 
 2454055.765298 13.26045 0.00361 
 2454056.739140 13.24974 0.00395 
 2454056.744508 13.25889 0.00388 
 2454056.749872 13.25235 0.00379 
 2454056.755241 13.26062 0.00366 
 2454056.760609 13.26438 0.00382 
 2454057.734189 13.26673 0.00403 
 2454057.744929 13.26610 0.00401 
 2454057.750291 13.25709 0.00377 
 2454057.755659 13.26778 0.00403 
 2454057.761029 13.26801 0.00381 
 2454058.733748 13.26165 0.00395 
 2454058.744484 13.26087 0.00390 
 2454058.749848 13.25976 0.00367 
 2454058.755216 13.26613 0.00379 
 2454059.730258 13.26706 0.00388 
 2454059.735624 13.26748 0.00362 
 2454059.740993 13.25559 0.00383 
 2454059.746355 13.27452 0.00375 
 2454059.751725 13.25546 0.00364 
